"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00190120","AMHERST, MA US","2024-01-01","37",",,7","31",",,7","31",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-02","39",",,7","17",",,7","17",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-03","40",",,7","17",",,7","23",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-04","35",",,7","23",",,7","32",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-05","42",",,7","17",",,7","17",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-06","32",",,7","16",",,7","27",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-07","35",",,7","26",",,7","26",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-08","30",",,7","24",",,7","27",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-09","41",",,7","10",",,7","16",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-10","46",",,7","16",",,7","41",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-11","49",",,7","16",",,7","38",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-12","44",",,7","30",",,7","30",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-13","47",",,7","28",",,7","43",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-14","52",",,7","30",",,7","31",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-15","38",",,7","15",",,7","17",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-16","30",",,7","15",",,7","22",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-17","25",",,7","16",",,7","16",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-18","25",",,7","3",",,7","4",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-19","29",",,7","3",",,7","14",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-20","27",",,7","10",",,7","11",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-21","19",",,7","5",",,7","9",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-22","23",",,7","2",",,7","3",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-23","37",",,7","3",",,7","37",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-24","39",",,7","31",",,7","32",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-25","35",",,7","32",",,7","34",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-26","44",",,7","34",",,7","36",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-27","37",",,7","35",",,7","35",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-28","42",",,7","34",",,7","34",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-29","42",",,7","32",",,7","34",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-30","34",",,7","30",",,7","30",",,7,0730"
"USC00190120","AMHERST, MA US","2024-01-31","33",",,7","27",",,7","27",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-01","34",",,7","27",",,7","33",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-02","38",",,7","33",",,7","33",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-03","42",",,7","29",",,7","29",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-04","39",",,7","24",",,7","24",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-05","44",",,7","24",",,7","27",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-06","41",",,7","24",",,7","24",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-07","40",",,7","20",",,7","22",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-08","44",",,7","22",",,7","25",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-09","50",",,7","24",",,7","35",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-10","52",",,7","32",",,7","36",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-11","57",",,7","36",",,7","41",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-12","46",",,7","21",",,7","22",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-13","44",",,7","22",",,7","33",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-14","44",",,7","21",",,7","27",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-15","44",",,7","17",",,7","18",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-16","38",",,7","18",",,7","31",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-17","38",",,7","25",",,7","26",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-18","35",",,7","19",",,7","20",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-19","36",",,7","20",",,7","30",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-20","35",",,7","12",",,7","13",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-21","39",",,7","13",",,7","15",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-22","41",",,7","15",",,7","25",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-23","40",",,7","25",",,7","33",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-24","48",",,7","26",",,7","32",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-25","37",",,7","12",",,7","14",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-26","37",",,7","13",",,7","30",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-27","54",",,7","23",",,7","26",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-28","61",",,7","26",",,7","52",",,7,0730"
"USC00190120","AMHERST, MA US","2024-02-29","55",",,7","25",",,7","25",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-01","33",",,7","19",",,7","23",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-02","46",",,7","23",",,7","37",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-03","45",",,7","37",",,7","45",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-04","64",",,7","36",",,7","40",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-05","59",",,7","40",",,7","40",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-06","44",",,7","40",",,7","43",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-07","48",",,7","43",",,7","48",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-08","51",",,7","31",",,7","34",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-09","55",",,7","30",",,7","32",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-10","42",",,7","32",",,7","37",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-11","47",",,7","31",",,7","32",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-12","45",",,7","32",",,7","34",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-13","57",",,7","27",",,7","28",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-14","64",",,7","27",",,7","31",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-15","69",",,7","30",",,7","42",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-16","47",",,7","31",",,7","33",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-17","58",",,7","32",",,7","44",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-18","55",",,7","30",",,7","31",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-19","47",",,7","31",",,7","33",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-20","43",",,7","30",",,7","37",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-21","50",",,7","25",",,7","26",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-22","36",",,7","24",",,7","24",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-23","39",",,7","24",",,7","32",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-24","35",",,7","23",",,7","23",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-25","42",",,7","23",",,7","27",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-26","47",",,7","27",",,7","36",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-27","47",",,7","35",",,7","37",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-28","54",",,7","37",",,7","46",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-29","50",",,7","41",",,7","41",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-30","52",",,7","38",",,7","38",",,7,0730"
"USC00190120","AMHERST, MA US","2024-03-31","56",",,7","38",",,7","39",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-01","55",",,7","31",",,7","34",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-02","56",",,7","34",",,7","42",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-03","51",",,7","40",",,7","40",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-04","41",",,7","34",",,7","36",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-05","38",",,7","29",",,7","36",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-06","44",",,7","36",",,7","38",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-07","47",",,7","36",",,7","36",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-08","54",",,7","26",",,7","29",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-09","66",",,7","29",",,7","40",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-10","75",",,7","40",",,7","47",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-11","63",",,7","45",",,7","47",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-12","64",",,7","46",",,7","63",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-13","64",",,7","48",",,7","48",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-14","52",",,7","39",",,7","41",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-15","56",",,7","41",",,7","42",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-16","67",",,7","32",",,7","35",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-17","66",",,7","35",",,7","40",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-18","61",",,7","39",",,7","45",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-19","47",",,7","44",",,7","44",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-20","62",",,7","44",",,7","47",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-21","62",",,7","30",",,7","34",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-22","50",",,7","31",",,7","40",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-23","56",",,7","28",",,7","32",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-24","65",",,7","32",",,7","45",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-25","62",",,7","33",",,7","35",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-26","57",",,7","27",",,7","33",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-27","62",",,7","33",",,7","38",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-28","65",",,7","38",",,7","44",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-29","68",",,7","44",",,7","57",",,7,0730"
"USC00190120","AMHERST, MA US","2024-04-30","76",",,7","52",",,7","53",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-01","68",",,7","49",",,7","50",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-02","67",",,7","49",",,7","50",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-03","77",",,7","49",",,7","51",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-04","66",",,7","43",",,7","48",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-05","69",",,7","48",",,7","49",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-06","51",",,7","48",",,7","49",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-07","74",",,7","45",",,7","52",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-08","79",",,7","47",",,7","51",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-09","67",",,7","51",",,7","54",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-10","69",",,7","47",",,7","48",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-11","63",",,7","43",",,7","47",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-12","63",",,7","46",",,7","48",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-13","60",",,7","40",",,7","46",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-14","71",",,7","46",",,7","54",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-15","81",",,7","54",",,7","60",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-16","67",",,7","57",",,7","57",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-17","69",",,7","48",",,7","53",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-18","77",",,7","53",",,7","59",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-19","68",",,7","58",",,7","59",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-20","71",",,7","48",",,7","53",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-21","79",",,7","52",",,7","56",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-22","85",",,7","56",",,7","62",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-23","89",",,7","62",",,7","67",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-24","82",",,7","48",",,7","56",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-25","83",",,7","50",",,7","58",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-26","80",",,7","58",",,7","64",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-27","85",",,7","64",",,7","69",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-28","74",",,7","66",",,7","68",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-29","80",",,7","53",",,7","59",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-30","76",",,7","52",",,7","52",",,7,0730"
"USC00190120","AMHERST, MA US","2024-05-31","69",",,7","42",",,7","50",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-01","75",",,7","44",",,7","56",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-02","81",",,7","49",",,7","56",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-03","84",",,7","56",",,7","64",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-04","86",",,7","55",",,7","60",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-05","81",",,7","60",",,7","63",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-06","83",",,7","63",",,7","70",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-07","80",",,7","60",",,7","61",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-08","81",",,7","52",",,7","60",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-09","72",",,7","59",",,7","59",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-10","70",",,7","51",",,7","59",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-11","72",",,7","52",",,7","59",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-12","73",",,7","53",",,7","58",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-13","77",",,7","48",",,7","56",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-14","84",",,7","56",",,7","68",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-15","80",",,7","60",",,7","64",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-16","76",",,7","45",",,7","53",",,7,0730"
"USC00190120","AMHERST, MA US","2024-06-17","75",",,7","53",",,7","61",",,7,0730"
